user_id,screen_name,x_coord,y_coord
134,adatewithiris,-45.80406181,-33.61060892
135,addicted2sitcom,-27.85040413,-69.94686537
136,addinawitsqa,41.64117809,92.55603686
137,adeantiprasti,25.85388977,70.041293
138,AdelanteArts,-35.80219183,44.53875758
139,AdeleHancock,-40.12626433,-10.2863905
140,adelicious,10.33546614,80.09514606
141,AdelinePhing,-7.668993574,28.03997784
142,adepitri,30.12997555,76.08282101
143,adhirgantoro,15.47909915,89.37436197
144,aDiBari517,-56.93592518,-36.3095043
145,adil320,-56.86989209,-9.879927666
146,adilaaamyt,43.99068933,89.39295149
147,adindaxton,31.66061625,-30.06792383
148,adistantshadow,20.50152292,-71.72517174
149,aditiasyamputra,36.68071432,68.47748074
150,AdityaPujaR,20.49189048,12.00042154
151,adjaniv,-36.6916805,-56.45517042
152,ADloves,-43.45376722,-39.95284134
153,ADorfling,-53.32153662,-40.81595016
154,adotadit,-11.53176791,-20.95299169
155,adri_hardcore,22.64757457,-35.75973369
156,adriana_suzanne,34.05385298,61.37648213
157,adrianmascenon,10.26260008,-45.12249235
158,AdriannyChi,31.9574238,66.53985118
159,advocate1979,29.54307553,90.56902329
160,adwincome,-38.66722468,-70.64560355
161,Adwords_Traffic,-36.06317633,-69.627504
162,adzel,37.27476602,62.92509937
163,aenglish09,-41.64093882,39.30532788
164,aeranua,33.79849448,79.94561635
165,AeronautGreg,18.0516755,-72.19515265
166,afbrat1,5.632702829,-73.70588189
167,AffiliateOffice,25.15169376,-81.13492873
168,affiliatetips,44.59072964,-26.42167705
169,afiqahshahbirin,43.24514119,11.82553573
170,AG_Beatz,14.38176272,-37.81148133
171,agatharenny,25.45542846,89.20658067
172,agencynovember1,-34.41578205,-72.87202651
173,Agnesyya,27.57141128,87.03722849
174,Agrippa93,-39.47353756,-37.58999397
175,ahmed_a_nasir,-62.05509171,-29.10615336
176,ahmedshifan,17.66627789,-40.93648553
177,aht4005,-21.62643681,15.32813394
178,AHugFromJoeJ,7.765084343,-63.4247128
179,ahyao,31.8265941,-63.2007683
180,AidiNoble,-41.24470558,-16.26257831
181,aiiuntari,19.83755829,88.71191637
182,aiiuueoo,14.53490169,73.9176034
183,Aijuswanadance,-30.82424583,-11.83493429
184,ailnaik,21.12137936,76.5753574
185,aineena,-12.04915287,39.46920165
186,ainsleymcc,-18.95983623,0.244876786
187,aishaese,33.72299798,71.59350244
188,aishiheartsubb,16.05284344,-31.0196346
189,Aislinnye24,-44.01010874,-52.43502813
190,aisyaj,-45.70964311,-37.92205503
191,aj21,38.85138227,-38.30754246
192,ajdimeo,41.41521586,10.97533196
193,AJM_Roos,18.44113062,65.07201296
194,ajoohoo,-66.576825,-8.432743938
195,Ak47dubula,-9.892458383,-1.081461326
196,aka_Nero,25.25053699,-62.41487903
197,akaBtje100,19.50533899,96.05395113
198,akosiwayne,-28.87638779,-61.83271131
199,akshav,-34.53606507,-54.60525115
200,akshay_kothari,-44.10775707,-52.74958243
201,akshaypoolla,31.04333709,76.19210703
202,AlaBelle21,-10.44970132,-4.272844522
203,alanharned,-17.70740992,18.54612854
204,alanis_nanixh08,-9.955015314,8.446883604
205,AlanJham,-35.40731604,25.76086931
206,alanoh_uk,36.12148731,77.06360469
207,AlaricSng,-20.64217274,31.81244999
208,AlbanyMommy,-13.13482651,31.91657277
209,AlbertMaruggi,-42.86036863,38.61846708
210,alcalonzo,30.49326761,80.36677008
211,aldisal,-31.48654717,19.6463981
212,alditonk2,36.99267449,92.51978171
213,AlejoSun,49.90622752,-15.58554587
214,AlessandraAna,16.51659723,-60.80815495
215,alex_reider,-32.51643348,-48.98396071
216,alexalover,-33.69412356,-71.55910928
217,Alexandraa173,-23.65890184,10.73624785
218,alexeitd,29.97822628,83.31713996
219,alexfoster,45.99298033,8.380595943
220,AlexNeufeldt,30.18347745,79.54505386
221,alexricand,18.55243842,76.15512266
222,alexskjong,-38.7220253,32.30945583
223,ALEXUS_FERRARI,15.96778104,-11.72399457
224,alexwilson12,16.65766765,-0.62319947
225,alfaidz,29.17975217,92.59453287
226,alfanmeiputra,39.48676981,71.88310225
227,alfianhidayat,31.74766566,95.3312449
228,AlfyRimaltullah,28.68369846,82.18822577
229,aliakbar123,37.64648832,67.90132083
230,aliarachma22,19.78027489,65.22090344
231,AliBeeSafe,20.68185326,4.222226636
232,alibuterfli,9.270266527,13.5800394
233,alicee_,17.05709641,-23.46893256
234,alicee1303,29.02536527,-34.26188323
235,aliciakan,30.84052493,0.537187899
236,aliciawuzhere,15.70040014,64.71205816
